timestamp;x;y;theta
1614280891105;-0.756300000000063;1.25;0
1614280891125;-0.7561200000000623;1.25;0
1614280891145;-0.7559400000000616;1.25;0
1614280891165;-0.7557600000000608;1.25;0
1614280891185;-0.7555800000000601;1.25;0
1614280891219;-0.7554000000000594;1.25;0
1614280891226;-0.7552200000000586;1.25;0
1614280891244;-0.7550400000000579;1.25;0
1614280891264;-0.7548600000000572;1.25;0
1614280891284;-0.7546800000000564;1.25;0
1614280891304;-0.7545000000000557;1.25;0
1614280891325;-0.754320000000055;1.25;0
1614280891345;-0.7541400000000542;1.25;0
1614280891364;-0.7539600000000535;1.25;0
1614280891386;-0.7537800000000527;1.25;0
1614280891405;-0.753600000000052;1.25;0
1614280891425;-0.7534200000000513;1.25;0
1614280891445;-0.7532400000000505;1.25;0
1614280891465;-0.7530600000000498;1.25;0
1614280891484;-0.7528800000000491;1.25;0
1614280891504;-0.7527000000000483;1.25;0
1614280891524;-0.7525200000000476;1.25;0
1614280891545;-0.7523400000000469;1.25;0
1614280891565;-0.7521600000000461;1.25;0
1614280891585;-0.7519800000000454;1.25;0
1614280891608;-0.7519800000000454;1.25;0
1614280891627;-0.7519800000000454;1.25;0
1614280891646;-0.7519800000000454;1.25;0
1614280891664;-0.7519800000000454;1.25;0
1614280891685;-0.7519800000000454;1.25;0
1614280891705;-0.7519800000000454;1.25;0
1614280891724;-0.7519800000000454;1.25;0
1614280891746;-0.7519800000000454;1.25;0
1614280891768;-0.7519800000000454;1.25;0
1614280891786;-0.7519800000000454;1.25;0
1614280891806;-0.7519800000000454;1.25;0
1614280891826;-0.7519800000000454;1.25;0
1614280891849;-0.7519800000000454;1.25;0
1614280891868;-0.7519800000000454;1.25;0
1614280891886;-0.7519800000000454;1.25;0
1614280891906;-0.7519800000000454;1.25;0
1614280891925;-0.7519800000000454;1.25;0
1614280891947;-0.7519800000000454;1.25;0
1614280891967;-0.7519800000000454;1.25;0
1614280891986;-0.7519800000000454;1.25;0
1614280892006;-0.7519800000000454;1.25;0
1614280892026;-0.7519800000000454;1.25;0
1614280892046;-0.7519800000000454;1.25;0
1614280892065;-0.7519800000000454;1.25;0
1614280892086;-0.7519800000000454;1.25;0
1614280892105;-0.7519800000000454;1.25;0
1614280892125;-0.7519800000000454;1.25;0
1614280892146;-0.7519800000000454;1.25;0
1614280892165;-0.7519800000000454;1.25;0
1614280892186;-0.7519800000000454;1.25;0
1614280892236;-0.7519800000000454;1.25;0
1614280892246;-0.7519800000000454;1.25;0
1614280892264;-0.7519800000000454;1.25;0
1614280892285;-0.7519800000000454;1.25;0
1614280892304;-0.7519800000000454;1.25;0
1614280892324;-0.7519800000000454;1.25;0
1614280892344;-0.7519800000000454;1.25;0
1614280892364;-0.7519800000000454;1.25;0
1614280892384;-0.7519800000000454;1.25;0
1614280892404;-0.7519800000000454;1.25;0
1614280892424;-0.7519800000000454;1.25;0
1614280892444;-0.7519800000000454;1.25;0
1614280892464;-0.7519800000000454;1.25;0
1614280892485;-0.7519800000000454;1.25;0
1614280892505;-0.7519800000000454;1.25;0
1614280892525;-0.7519800000000454;1.25;0
1614280892544;-0.7519800000000454;1.25;0
1614280892564;-0.7519800000000454;1.25;0
1614280892585;-0.7519800000000454;1.25;0
1614280892607;-0.755980000000045;1.25;0
1614280892625;-0.7599800000000445;1.25;0
1614280892645;-0.7639800000000441;1.25;0
1614280892665;-0.7679800000000436;1.25;0
1614280892687;-0.7719800000000432;1.25;0
1614280892705;-0.7759800000000427;1.25;0
1614280892726;-0.7799800000000423;1.25;0
1614280892749;-0.7839800000000419;1.25;0
1614280892770;-0.7879800000000414;1.25;0
1614280892788;-0.791980000000041;1.25;0
1614280892805;-0.7959800000000405;1.25;0
1614280892826;-0.7999800000000401;1.25;0
1614280892850;-0.8039800000000397;1.25;0
1614280892869;-0.8079800000000392;1.25;0
1614280892887;-0.8119800000000388;1.25;0
1614280892905;-0.8159800000000383;1.25;0
1614280892925;-0.8199800000000379;1.25;0
1614280892949;-0.8239800000000375;1.25;0
1614280892969;-0.827980000000037;1.25;0
1614280892986;-0.8319800000000366;1.25;0
1614280893006;-0.8359800000000361;1.25;0
1614280893026;-0.8399800000000357;1.25;0
1614280893047;-0.8439800000000353;1.25;0
1614280893066;-0.8479800000000348;1.25;0
1614280893085;-0.8519800000000344;1.25;0
1614280893105;-0.8559800000000339;1.25;0
1614280893125;-0.8599800000000335;1.25;0
1614280893145;-0.863980000000033;1.25;0
1614280893165;-0.8679800000000326;1.25;0
1614280893186;-0.8719800000000322;1.25;0
1614280893238;-0.8759800000000317;1.25;0
1614280893244;-0.8799800000000313;1.25;0
1614280893264;-0.8839800000000309;1.25;0
1614280893286;-0.8879800000000304;1.25;0
1614280893305;-0.89198000000003;1.25;0
1614280893326;-0.8959800000000295;1.25;0
1614280893346;-0.8999800000000291;1.25;0
1614280893365;-0.9039800000000286;1.25;0
1614280893386;-0.9079800000000282;1.25;0
1614280893405;-0.9119800000000278;1.25;0
1614280893425;-0.9159800000000273;1.25;0
1614280893445;-0.9199800000000269;1.25;0
1614280893465;-0.9239800000000264;1.25;0
1614280893485;-0.927980000000026;1.25;0
1614280893505;-0.9319800000000256;1.25;0
1614280893525;-0.9359800000000251;1.25;0
1614280893545;-0.9399800000000247;1.25;0
1614280893565;-0.9439800000000242;1.25;0
1614280893586;-0.9479800000000238;1.25;0
1614280893612;-0.9442000000000239;1.25;0
1614280893625;-0.940420000000024;1.25;0
1614280893647;-0.9366400000000241;1.25;0
